Date,Stock A,Stock B,Market Cap A,Market Cap B,Month,Stock A % Change,Stock B % Change
2014-12-18,187.4502,123.48538793,118942.62657054121,94862.7293723966,2014-12,2.926525529265267,3.04115381036969
2014-12-19,187.65432,124.13576577,119072.14667206994,95362.3562356227,2014-12,0.10889292196007982,0.5266840481310098
2014-12-22,189.68418,124.19712217,120360.15212616109,95409.49084536101,2014-12,1.0817017162194853,0.04942685101221311
2014-12-23,189.23058,125.14201073,120072.3296783195,96135.36383533101,2014-12,-0.23913433371195447,0.7607974673572881
2014-12-24,189.33264,125.11746816999998,120137.08972908385,96116.50999143567,2014-12,0.05393420027566265,-0.01961176734882608
2014-12-25,189.33264,125.11746816999998,120137.08972908385,96116.50999143567,2014-12,0.0,0.0
2014-12-26,188.53884,124.712510774,119633.40044536104,95805.41760627125,2014-12,-0.4192620987062745,-0.3236617571654832
2014-12-29,189.04914,124.761593316,119957.20069918284,95843.12331361612,2014-12,0.27066041140382247,0.03935655027340612
2014-12-30,188.06256,123.595837184,119331.18687512736,94947.57761126292,2014-12,-0.5218643152780311,-0.9343870184851943
2014-12-31,186.33888,122.61413994,118237.46157332929,94193.42781634153,2014-12,-0.9165460684997573,-0.7942801848079495
2015-01-01,186.33888,122.61413994,113437.03251508992,94359.29323584637,2015-01,0.0,0.0
2015-01-02,186.04404,122.99454962,113257.54353959135,94652.04241275565,2015-01,-0.15822784810126667,0.31024943794095705
2015-01-05,181.84824,120.65073514,110703.27734980416,92848.32974212104,2015-01,-2.255272461294644,-1.905624669744621
2015-01-06,179.9091,120.368487966,109522.7921647944,92631.12278809855,2015-01,-1.0663507109004766,-0.23393738436195965
2015-01-07,181.2132,121.23976947,110316.6857102688,93301.62870990443,2015-01,0.7248660573589749,0.723845184668348
2015-01-08,185.55642,123.44857409,112960.69638780528,95001.44280101384,2015-01,2.3967459324155227,1.8218482513252754
2015-01-09,183.27708,121.39928322,111573.10853875872,93424.38457410382,2015-01,-1.228381103709586,-1.6600360798869618
2015-01-12,182.27916,120.81026178,110965.60739091743,92971.09552598622,2015-01,-0.5444870684321312,-0.48519350722406873
2015-01-13,182.14308,121.66926427,110882.76632530271,93632.15197415685,2015-01,-0.0746547219111604,0.7110343751793868
2015-01-14,181.25856,121.1047725,110344.29939880704,93197.74005004502,2015-01,-0.4856182293612288,-0.46395593282073655
2015-01-15,181.05444,119.16592315,110220.03780038496,91705.67351965705,2015-01,-0.11261261261260591,-1.600968574545647
2015-01-16,183.708,120.528030074,111835.438579872,92753.90047556268,2015-01,1.465614430665152,1.143033921102976
2015-01-19,183.708,120.528030074,111835.438579872,92753.90047556268,2015-01,0.0,0.0
2015-01-20,183.63996,121.460644776,111794.01804706464,93471.60615114906,2015-01,-0.037037037037035425,0.7737741182921587
2015-01-21,184.32036,121.79196418,112208.22337513823,93726.57727284888,2015-01,0.3705075954057113,0.2727792237650517
2015-01-22,188.11926,121.96376209999998,114520.86979021583,93858.78657854984,2015-01,2.061031130798585,0.14105850181223012
2015-01-23,185.99868,125.78011729,113229.92985105312,96795.71194981267,2015-01,-1.1272529989752145,3.1290894313926954
2015-01-26,186.24816,125.031564054,113381.80513801344,96219.65314996356,2015-01,0.13412998414827904,-0.59512842898225
2015-01-27,185.55642,123.81671249,112960.69638780528,95284.74845608734,2015-01,-0.3714076960545598,-0.9716359010556008
2015-01-28,185.90796,122.49142714,113174.70247397663,94264.85801748853,2015-01,0.1894518120149069,-1.0703606349643957
2015-01-29,188.39142,122.92092194,114686.55192144528,94595.38128174095,2015-01,1.3358545809442512,0.350632538152329
2015-01-30,184.0482,119.96355635,112042.54124390881,92319.50243898298,2015-01,-2.305423463552636,-2.405909053825306
2015-02-02,186.45228,122.43005784999998,113506.06673643552,94217.63048864382,2015-02,1.3062230437461464,2.0560423307256936
2015-02-03,188.17596,124.270744694,114555.38690088864,95634.154796145,2015-02,0.924461744313354,1.5034599152564443
2015-02-04,186.89454,123.63264329,113775.30019968336,95143.09562855058,2015-02,-0.6809690249487743,-0.5134767684632724
2015-02-05,188.8677,125.58376391999998,114976.4956510968,96644.60568077432,2015-02,1.0557611795400712,1.5781597627281263
2015-02-06,188.32338,124.85977129,114645.1313886379,96087.44781212891,2015-02,-0.2882017412188631,-0.5765017765044789
2015-02-09,186.92856,124.66343081,113796.01046608704,95936.35146275637,2015-02,-0.7406515324862917,-0.15724879036017603
2015-02-10,188.03988,125.70650249999998,114472.54583527392,96739.06073846374,2015-02,0.5945158942004314,0.8367102390995029
2015-02-11,186.52032,125.69421832999998,113547.48726924288,96729.60729696216,2015-02,-0.8081051742853784,-0.009772103873462168
